code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1934463,TRUE,JARO MOLINA Rafael,Male,Coach,C,ESP,Spain,Spain,Hockey,,28-06-1984
1934464,TRUE,LAZARO REINA Jordi,Male,Coach,C,ESP,Spain,Spain,Hockey,,28-06-1987
1934466,TRUE,MOVELLAN de la MAZA Borja,Male,Coach,C,ESP,Spain,Spain,Hockey,,24-12-1979
1934467,TRUE,PALOMERO MARTIN Oscar,Male,Coach,C,ESP,Spain,Spain,Hockey,,24-11-1973
1934811,TRUE,PEREZ Carlos,Male,Goalkeeper Coach,C,COL,Colombia,Colombia,Football,Women,
1934831,TRUE,CANTWELL Lynne,Female,Head Coach,C,RSA,South Africa,South Africa,Rugby Sevens,,27-09-1981
1934833,TRUE,DAZEL Renfred,Male,Head Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Women,04-05-1981
1934834,TRUE,MOLOPYANE Obakeng,Male,Assistant Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Women,17-03-1993
1934835,TRUE,PARKER Naasier,Male,Head Coach,C,RSA,South Africa,South Africa,Rugby Sevens,,16-04-1988
1934837,TRUE,AFRIKA Cecil,Male,Assistant Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Women,03-05-1988
1935326,TRUE,WAKAMA Rena,Female,Coach,C,NGR,Nigeria,Nigeria,Basketball,Women,11-04-1992
1935341,TRUE,OLAJUWON Alon,Female,Coach,C,NGR,Nigeria,Nigeria,Basketball,,06-07-1998
1935667,TRUE,FUENTES Andrea,Female,Coach,C,USA,United States,United States of America,Artistic Swimming,Team,07-04-1983
1935669,TRUE,TEIXEIRA Lara,Female,Coach,C,USA,United States,United States of America,Artistic Swimming,Team,26-11-1987
1935695,TRUE,RUIZ CASAS Jairo,Male,Coach,C,COL,Colombia,Colombia,Artistic Gymnastics,,19-06-1956
1935699,TRUE,LIM Alison,Female,Coach,C,COL,Colombia,Colombia,Artistic Gymnastics,,13-03-1983
1935822,TRUE,ALONSO CALVO Adria,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,30-09-1992
1935823,TRUE,BANGO MELCON Benjamin,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,18-11-1965
1935824,TRUE,BOTELLA PEREZ de LANDAZAB Isaac,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,12-06-1984
1935825,TRUE,CARRASCAL RUBIO Alvaro,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,24-07-1985
1935826,TRUE,CASIMIRO ROS Javier,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,20-09-1969
1935827,TRUE,GUISADO MUNOZ Lucia,Female,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,17-02-1965
1935828,TRUE,MARTINEZ SANCHEZ Manuel Angel,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,21-06-1968
1935829,TRUE,MIR HOMAR Pedro,Male,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,09-12-1965
1935830,TRUE,RUEDA BRAVO Eva,Female,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,13-09-1971
1935831,TRUE,SAN JOSE CRISTOBAL Almudena,Female,Coach,C,ESP,Spain,Spain,Artistic Gymnastics,,02-12-1964
1935832,TRUE,BROWN LOPEZ Dagmara,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,05-10-1955
1935833,TRUE,FERRANDEZ ARENAS Monica,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,25-10-1974
1935834,TRUE,GARCIA GARCES Maria,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,03-05-1991
1935835,TRUE,LINARES GARCIA Marta,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,31-01-1986
1935836,TRUE,MALCHAIR SELECQUE Caroline Martine,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,31-05-1982
1935837,TRUE,PELAZ MOTA Ana,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,24-09-1987
1935838,TRUE,QUEREDA FLORES Alejandra,Female,Coach,C,ESP,Spain,Spain,Rhythmic Gymnastics,,24-07-1992
1936384,TRUE,KASSMAN Edward,Male,Coach,C,PNG,Papua New Guinea,Papua New Guinea,Taekwondo,,10-01-1978
